2026-02-04 20:43:49,991 | INFO | SUBMIT | calc_rsi (calculation) | FAILED
2026-02-04 20:43:50,223 | INFO | ERROR | calc_rsi (calculation) | FAILED
2026-02-04 20:43:50,233 | INFO | SUBMIT | unsafe_func (calculation) | FAILED
2026-02-04 20:43:50,233 | INFO | VERIFICATION_FAILED | unsafe_func (calculation) | FAILED
2026-02-04 20:43:50,239 | INFO | SUBMIT | calc_rsi (calculation) | FAILED
2026-02-04 20:43:50,480 | INFO | ERROR | calc_rsi (calculation) | FAILED
2026-02-04 20:43:50,487 | INFO | SUBMIT | unsafe_func (calculation) | FAILED
2026-02-04 20:43:50,487 | INFO | VERIFICATION_FAILED | unsafe_func (calculation) | FAILED
2026-02-04 20:43:50,489 | INFO | SUBMIT | calc_rsi (calculation) | FAILED
2026-02-04 20:43:50,711 | INFO | ERROR | calc_rsi (calculation) | FAILED
2026-02-04 20:43:50,717 | INFO | SUBMIT | calc_rsi (calculation) | FAILED
2026-02-04 20:43:50,944 | INFO | ERROR | calc_rsi (calculation) | FAILED
2026-02-04 20:43:50,952 | INFO | SUBMIT | calc_rsi (calculation) | FAILED
2026-02-04 20:43:51,178 | INFO | ERROR | calc_rsi (calculation) | FAILED
2026-02-04 20:43:51,184 | INFO | SUBMIT | calc_rsi (calculation) | FAILED
2026-02-04 20:43:51,408 | INFO | ERROR | calc_rsi (calculation) | FAILED
2026-02-04 20:43:59,490 | INFO | SUBMIT | calc_rsi (calculation) | FAILED
2026-02-04 20:43:59,726 | INFO | ERROR | calc_rsi (calculation) | FAILED
2026-02-04 20:43:59,736 | INFO | SUBMIT | unsafe_func (calculation) | FAILED
2026-02-04 20:43:59,736 | INFO | VERIFICATION_FAILED | unsafe_func (calculation) | FAILED
2026-02-04 20:43:59,742 | INFO | SUBMIT | calc_rsi (calculation) | FAILED
2026-02-04 20:43:59,981 | INFO | ERROR | calc_rsi (calculation) | FAILED
2026-02-04 20:44:00,013 | INFO | SUBMIT | unsafe_func (calculation) | FAILED
2026-02-04 20:44:00,014 | INFO | VERIFICATION_FAILED | unsafe_func (calculation) | FAILED
2026-02-04 20:44:00,015 | INFO | SUBMIT | calc_rsi (calculation) | FAILED
2026-02-04 20:44:00,264 | INFO | ERROR | calc_rsi (calculation) | FAILED
2026-02-04 20:44:00,271 | INFO | SUBMIT | calc_rsi (calculation) | FAILED
2026-02-04 20:44:00,513 | INFO | ERROR | calc_rsi (calculation) | FAILED
2026-02-04 20:44:00,520 | INFO | SUBMIT | calc_rsi (calculation) | FAILED
2026-02-04 20:44:00,747 | INFO | ERROR | calc_rsi (calculation) | FAILED
2026-02-04 20:44:00,753 | INFO | SUBMIT | calc_rsi (calculation) | FAILED
2026-02-04 20:44:00,995 | INFO | ERROR | calc_rsi (calculation) | FAILED
2026-02-04 20:44:07,705 | INFO | SUBMIT | calc_rsi (calculation) | FAILED
2026-02-04 20:44:07,937 | INFO | ERROR | calc_rsi (calculation) | FAILED
2026-02-04 20:44:07,964 | INFO | SUBMIT | unsafe_func (calculation) | FAILED
2026-02-04 20:44:07,965 | INFO | VERIFICATION_FAILED | unsafe_func (calculation) | FAILED
2026-02-04 20:44:07,969 | INFO | SUBMIT | calc_rsi (calculation) | FAILED
2026-02-04 20:44:08,198 | INFO | ERROR | calc_rsi (calculation) | FAILED
2026-02-04 20:44:08,206 | INFO | SUBMIT | unsafe_func (calculation) | FAILED
2026-02-04 20:44:08,206 | INFO | VERIFICATION_FAILED | unsafe_func (calculation) | FAILED
2026-02-04 20:44:08,207 | INFO | SUBMIT | calc_rsi (calculation) | FAILED
2026-02-04 20:44:08,435 | INFO | ERROR | calc_rsi (calculation) | FAILED
2026-02-04 20:44:08,442 | INFO | SUBMIT | calc_rsi (calculation) | FAILED
2026-02-04 20:44:08,687 | INFO | ERROR | calc_rsi (calculation) | FAILED
2026-02-04 20:44:08,706 | INFO | SUBMIT | calc_rsi (calculation) | FAILED
2026-02-04 20:44:08,935 | INFO | ERROR | calc_rsi (calculation) | FAILED
2026-02-04 20:44:08,942 | INFO | SUBMIT | calc_rsi (calculation) | FAILED
2026-02-04 20:44:09,167 | INFO | ERROR | calc_rsi (calculation) | FAILED
2026-02-04 20:44:15,196 | INFO | SUBMIT | calc_rsi (calculation) | FAILED
2026-02-04 20:44:15,445 | INFO | ERROR | calc_rsi (calculation) | FAILED
2026-02-04 20:44:51,000 | INFO | SUBMIT | calc_rsi (calculation) | FAILED
2026-02-04 20:44:51,254 | INFO | REGISTERED | calc_rsi (calculation) | SUCCESS
2026-02-04 20:44:51,256 | INFO | SUBMIT | unsafe_func (calculation) | FAILED
